text,label
I practiced well and I am confident,genuine
I understand the topic clearly,genuine
I prepared for this presentation,genuine
I feel calm and ready,genuine
I have studied the material thoroughly,genuine
I know the concept very well,genuine
I worked hard for this result,genuine
I feel comfortable explaining this topic,genuine
I have real experience with this subject,genuine
I understand how this system works,genuine
I have strong knowledge about this area,genuine
I am confident in my preparation,genuine
I solved similar problems before,genuine
I feel ready to answer questions,genuine
I clearly understand the solution,genuine
I can explain the steps properly,genuine
I practiced multiple times before this,genuine
I studied the theory carefully,genuine
I have a clear understanding of this topic,genuine
I am comfortable presenting this idea,genuine
I can solve this problem step by step,genuine
I know the answer because I practiced,genuine
I have confidence because I prepared well,genuine
I understand the concept from experience,genuine
I am confident in the final answer,genuine
I studied this problem earlier,genuine
I feel ready for this challenge,genuine
I practiced solving similar tasks,genuine
I know this topic very well,genuine
I understand the details clearly,genuine
I believe this solution is correct,genuine
I am confident about my explanation,genuine
I prepared examples for this topic,genuine
I know the process involved here,genuine
I feel fully prepared for this question,genuine
I worked through this problem before,genuine
I know the logic behind this answer,genuine
I have good understanding of the method,genuine
I practiced this during training,genuine
I am confident in my solution,genuine
I have deep understanding of this topic,genuine
I know the process clearly,genuine
I practiced and mastered this concept,genuine
I understand the system architecture well,genuine
I worked on similar projects earlier,genuine
I can explain the solution step by step,genuine
I verified the answer using logic,genuine
I analyzed this problem earlier,genuine
I reviewed this concept many times,genuine
I prepared thoroughly for this task,genuine
My experience helps me answer this correctly,genuine
I have tested this approach multiple times,genuine
The evidence supports my conclusion here,genuine
I derived this answer through reasoning,genuine
I have used this method many times before,genuine
This is well within my area of expertise,genuine
I recall studying exactly this type of problem,genuine
I am familiar with all the key concepts here,genuine
I know the theory and the practical application,genuine
I have a structured approach ready for this,genuine
I can walk through the reasoning clearly,genuine
My preparation gives me confidence here,genuine
I validated this answer with examples,genuine
I understand the edge cases in this problem,genuine
I can demonstrate this with a concrete example,genuine
I recall the exact steps from my practice,genuine
I have encountered and solved this before,genuine
I have broken this down into clear steps,genuine
I know why each step in the solution works,genuine
I am ready to explain my reasoning in detail,genuine
I confirmed this answer through multiple checks,genuine
The logic here is straightforward given my background,genuine
I have a solid foundation in this area,genuine
I double-checked my understanding before answering,genuine
My answer is backed by clear evidence,genuine
I understand the problem from first principles,genuine
I have practiced this exact scenario,genuine
I can defend my answer with solid reasoning,genuine
Um I think maybe this is correct,fake
Uh not sure but I will try,fake
Maybe this answer could be right,fake
I guess this might work,fake
I think this is correct but not sure,fake
Um I am not completely sure,fake
Uh maybe this solution works,fake
I am guessing the answer,fake
Maybe this could be correct,fake
I am not very sure but trying,fake
Um maybe the answer is this,fake
I think it might be correct,fake
Maybe I am right,fake
I am not certain but I will say this,fake
Uh this could be correct,fake
Maybe the result is right,fake
I think this is the answer,fake
I am guessing here,fake
Maybe it works this way,fake
I am not confident but answering,fake
I am pretending to be confident,fake
Definitely this is the best option,fake
Absolutely this will always work,fake
I never fail this method,fake
This is always correct,fake
Trust me I am always right,fake
I am definitely sure about this,fake
Absolutely no doubt,fake
This is perfectly correct always,fake
I guarantee this is right,fake
This solution will always work,fake
I am 100 percent sure,fake
There is no way this is wrong,fake
I am totally confident always,fake
This is absolutely the correct answer,fake
I never make mistakes here,fake
This is the best solution always,fake
I know I am always correct,fake
I am extremely sure about this,fake
This will definitely succeed,fake
Uh I suppose this could be the right approach,fake
I mean maybe I am overthinking it but perhaps,fake
I am not totally sure but I believe so,fake
Well I guess it might be correct,fake
Sort of confident but not entirely sure,fake
I think I know this but I might be wrong,fake
Probably right but hard to say,fake
Hmm this seems like it could work,fake
I am somewhat confident this is the answer,fake
Well maybe if I think about it more,fake
I kind of know the answer but not fully,fake
Uh let me guess it is probably this,fake
I am ninety nine percent sure always,fake
No one knows this better than me ever,fake
I have literally never been wrong about this,fake
Without a doubt this is always perfect,fake
I am unquestionably the best at this always,fake
Honestly I am just hoping this is right,fake
I am not deeply familiar but let me try,fake
I read about this once so I should know,fake
I half remember this from somewhere,fake
Not totally confident but I will commit to it,fake
I think I remember reading something like this,fake
I am unsure but I will say it anyway,fake
I have a feeling this is right,fake
This sounds right to me even though I am not sure,fake
I am fairly confident but could be wrong,fake
Well technically this might be correct,fake
Let me just say yes and hope for the best,fake
I will go with this even though I doubt myself,fake
